Название на русском,Название на киргизском,"Флаг, герб",Прежние названия[источник не указан 862 дня],Статус города с[1],2009,2019[2],Статус,Область


Айдаркен,Айдаркан,,Хайдаркан,2012,10 331,11759,город районного подчинения,Баткенская область
Балыкчы,Балыкчы,,"до 1989 — Рыбачье, 1989—1993 — Иссык-Куль",1954,42 380,48622,город областного подчинения,Иссык-Кульская область
Баткен,Баткен,,,2000,13 435,18263,город областного подчинения,Баткенская область
Бишкек,Бишкек,,"до 1926 — Пишпек, 1926—1991 — Фрунзе",1878,821 915,1012500,город республиканского подчинения,Столица
Джалал-Абад,Жалал-Абад,,Жалалабат,1877,89 004,109189,город областного подчинения,Джалал-Абадская область
Исфана,Исфана,,"Асбаникат, Аспаникент, Асбани, Аспана, Асвона, Исвона",2001,18 244,22139,город районного подчинения,Баткенская область
Кадамжай,Кадамжай,,Фрунзе,2012,6732,7152,город районного подчинения,Баткенская область
Каинды,Кайыңды,,Молотовск,2012,7526,9265,город районного подчинения,Чуйская область
Кант,Кант,,,1985,21 589,21985,город районного подчинения,Чуйская область
Кара-Балта,Кара-Балта,,"имени Микояна, Калининское",1975,37 834,46911,город районного подчинения,Чуйская область
Каракол,Каракол,,"Каракольское укрепление, Караколь, 1889—1922 и 1939—1992 — Пржевальск",1869,63 377,76509,город областного подчинения,Иссык-Кульская область
Кара-Куль,Кара-Көл,,,1977,18 843,22050,город областного подчинения,Джалал-Абадская область
Кара-Суу,Кара-Суу,,,1960,20 862,25469,город районного подчинения,Ошская область
Кемин,Кемин,,"Быстрорецкое, Быстровка",2012,8169,10095,город районного подчинения,Чуйская область
Кербен,Кербен,,до 2004 — Караван,2004,14 141,18196,город районного подчинения,Джалал-Абадская область
Кок-Джангак,Кок-Жаңгак,,Кок-Янгак,1943,10 451,11786,город районного подчинения,Джалал-Абадская область
Кочкор-Ата,Кочкор-Ата,,,2003,14 814,16829,город районного подчинения,Джалал-Абадская область
Кызыл-Кия,Кызыл-Кыя,,,1938,31 727,40309,город областного подчинения,Баткенская область
Майлуу-Суу,Майлуу-Суу,,Майли-Сай,1956,16 953,22347,город областного подчинения,Джалал-Абадская область
Нарын,Нарын,,"укрепление Нарынское, Нарынская слободка",1927,34 822,40065,город областного подчинения,Нарынская область
Ноокат,Ноокат,,до 2003 — Эски-Ноокат,2003,14 371,17242,город районного подчинения,Ошская область
Орловка,Орловка,,,2012,6260,6111,город районного подчинения,Чуйская область
Ош,Ош,,,IX век,232 816,270347,город республиканского подчинения,город республиканского подчинения
Сулюкта,Сүлүктү,,,1940,20 010,14472,город областного подчинения,Баткенская область]
Талас,Талас,,Дмитриевка,1944,32 886,38700,город областного подчинения,Таласская область
Таш-Кумыр,Таш-Көмүр,,Нарын,1943,19 310,23228,город областного подчинения,Джалал-Абадская область
Токмок,Токмок,,Токмак,1867,53 231,64534,город областного подчинения,Чуйская область
Токтогул,Токтогул,,Музтөр,2012,16 429,19864,город районного подчинения,Джалал-Абадская область
Узген,Өзгөн,,,1927,49 410,60236,город районного подчинения,Ошская область
Чолпон-Ата,Чолпон-Ата,,,1975,10 525,13627,город районного подчинения,Иссык-Кульская область
Шопоков,Шопоков,,"Новотроицкое, до 1985 — Краснооктябрьский",1985,8749,9971,город районного подчинения,Чуйская область
/wiki/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA
/wiki/%D0%9A%D0%B8%D1%80%D0%B3%D0%B8%D0%B7%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA
/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%A1%D1%81%D1%8B%D0%BB%D0%BA%D0%B8_%D0%BD%D0%B0_%D0%B8%D1%81%D1%82%D0%BE%D1%87%D0%BD%D0%B8%D0%BA%D0%B8
#cite_note-sssr-1
#cite_note-2
/wiki/%D0%90%D0%B9%D0%B4%D0%B0%D1%80%D0%BA%D0%B5%D0%BD
/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Flag_of_Khaidarkan.png
/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Coat_of_arms_of_Khaidarkan.png
/wiki/%D0%91%D0%B0%D1%82%D0%BA%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C
/wiki/%D0%91%D0%B0%D0%BB%D1%8B%D0%BA%D1%87%D1%8B
/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Balykchi_flag.svg
/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Coat_of_arms_of_Balykchy_Kyrgyzstan.svg
/wiki/%D0%98%D1%81%D1%81%D1%8B%D0%BA-%D0%9A%D1%83%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C
/wiki/%D0%91%D0%B0%D1%82%D0%BA%D0%B5%D0%BD
/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Batken_flag.svg
/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Batken_coa.svg
/wiki/%D0%91%D0%B8%D1%88%D0%BA%D0%B5%D0%BA
/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Flag_of_Bishkek_Kyrgyzstan.svg
/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Coat_of_arms_of_Bishkek_Kyrgyzstan.svg
/wiki/%D0%94%D0%B6%D0%B0%D0%BB%D0%B0%D0%BB-%D0%90%D0%B1%D0%B0%D0%B4
/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Jalal_abad_flag.svg
/wiki/%D0%A4%D0%B0%D0%B9%D0%BB:Jalalabad_coa.svg
